 Vd,Vg1,Vg2,Vg3,Vg4,Vg5,Vg6,Vg7,Vg8,Vg9,Vg10,Vg11
1.425,6.71E-09,6.68E-09,6.99E-09,7.37E-09,7.77E-09,8.23E-09,8.65E-09,9.17E-09,9.90E-09,1.07E-08,1.17E-08
1.462,6.75E-09,6.74E-09,7.04E-09,7.40E-09,7.84E-09,8.29E-09,8.71E-09,9.24E-09,9.97E-09,1.08E-08,1.18E-08
1.5,6.81E-09,6.77E-09,7.10E-09,7.47E-09,7.87E-09,8.35E-09,8.77E-09,9.31E-09,1.01E-08,1.09E-08,1.18E-08
1.538,6.83E-09,6.83E-09,7.13E-09,7.51E-09,7.93E-09,8.39E-09,8.83E-09,9.36E-09,1.01E-08,1.09E-08,1.19E-08
1.575,6.89E-09,6.87E-09,7.18E-09,7.56E-09,7.97E-09,8.45E-09,8.89E-09,9.42E-09,1.02E-08,1.10E-08,1.20E-08
1.613,6.92E-09,6.92E-09,7.22E-09,7.60E-09,8.03E-09,8.50E-09,8.94E-09,9.48E-09,1.02E-08,1.11E-08,1.20E-08
1.65,6.97E-09,6.96E-09,7.27E-09,7.65E-09,8.07E-09,8.55E-09,8.98E-09,9.53E-09,1.03E-08,1.11E-08,1.21E-08
1.687,7.00E-09,6.99E-09,7.30E-09,7.68E-09,8.11E-09,8.60E-09,9.03E-09,9.58E-09,1.04E-08,1.12E-08,1.22E-08
1.725,7.04E-09,7.03E-09,7.34E-09,7.74E-09,8.15E-09,8.64E-09,9.07E-09,9.63E-09,1.04E-08,1.13E-08,1.22E-08
1.762,7.07E-09,7.07E-09,7.37E-09,7.78E-09,8.20E-09,8.69E-09,9.13E-09,9.69E-09,1.05E-08,1.13E-08,1.23E-08
1.8,7.12E-09,7.10E-09,7.42E-09,7.81E-09,8.23E-09,8.72E-09,9.16E-09,9.71E-09,1.05E-08,1.14E-08,1.24E-08
1.837,7.15E-09,7.13E-09,7.45E-09,7.86E-09,8.29E-09,8.77E-09,9.21E-09,9.78E-09,1.06E-08,1.14E-08,1.24E-08
1.875,7.17E-09,7.17E-09,7.49E-09,7.88E-09,8.31E-09,8.80E-09,9.25E-09,9.82E-09,1.06E-08,1.15E-08,1.25E-08
1.913,7.21E-09,7.19E-09,7.52E-09,7.92E-09,8.35E-09,8.85E-09,9.30E-09,9.86E-09,1.07E-08,1.15E-08,1.25E-08
1.95,7.24E-09,7.23E-09,7.56E-09,7.94E-09,8.39E-09,8.87E-09,9.33E-09,9.90E-09,1.07E-08,1.16E-08,1.26E-08
1.988,7.27E-09,7.26E-09,7.58E-09,7.99E-09,8.42E-09,8.91E-09,9.39E-09,9.95E-09,1.08E-08,1.16E-08,1.26E-08
2.025,7.29E-09,7.29E-09,7.61E-09,8.01E-09,8.47E-09,8.96E-09,9.41E-09,9.99E-09,1.08E-08,1.17E-08,1.27E-08
2.062,7.32E-09,7.31E-09,7.65E-09,8.04E-09,8.48E-09,8.99E-09,9.45E-09,1.00E-08,1.09E-08,1.17E-08,1.27E-08
2.1,7.34E-09,7.35E-09,7.68E-09,8.07E-09,8.52E-09,9.02E-09,9.49E-09,1.01E-08,1.09E-08,1.17E-08,1.28E-08
2.138,7.38E-09,7.37E-09,7.71E-09,8.11E-09,8.54E-09,9.06E-09,9.52E-09,1.01E-08,1.09E-08,1.18E-08,1.28E-08
2.175,7.39E-09,7.40E-09,7.72E-09,8.13E-09,8.58E-09,9.09E-09,9.56E-09,1.01E-08,1.10E-08,1.18E-08,1.29E-08
2.212,7.43E-09,7.43E-09,7.76E-09,8.17E-09,8.60E-09,9.12E-09,9.58E-09,1.02E-08,1.10E-08,1.19E-08,1.29E-08
2.25,7.44E-09,7.45E-09,7.78E-09,8.19E-09,8.64E-09,9.15E-09,9.62E-09,1.02E-08,1.10E-08,1.19E-08,1.29E-08
2.288,7.47E-09,7.48E-09,7.80E-09,8.22E-09,8.66E-09,9.18E-09,9.64E-09,1.02E-08,1.11E-08,1.19E-08,1.30E-08
2.325,7.49E-09,7.50E-09,7.83E-09,8.24E-09,8.70E-09,9.21E-09,9.68E-09,1.03E-08,1.11E-08,1.20E-08,1.30E-08
2.362,7.51E-09,7.53E-09,7.86E-09,8.27E-09,8.72E-09,9.22E-09,9.70E-09,1.03E-08,1.11E-08,1.20E-08,1.31E-08
2.4,7.54E-09,7.54E-09,7.87E-09,8.29E-09,8.75E-09,9.27E-09,9.74E-09,1.03E-08,1.12E-08,1.20E-08,1.31E-08
2.437,7.56E-09,7.57E-09,7.91E-09,8.31E-09,8.77E-09,9.28E-09,9.77E-09,1.04E-08,1.12E-08,1.21E-08,1.32E-08
2.475,7.59E-09,7.58E-09,7.93E-09,8.33E-09,8.80E-09,9.31E-09,9.80E-09,1.04E-08,1.13E-08,1.21E-08,1.32E-08
2.513,7.60E-09,7.61E-09,7.95E-09,8.35E-09,8.82E-09,9.33E-09,9.81E-09,1.04E-08,1.13E-08,1.21E-08,1.32E-08
2.55,7.61E-09,7.63E-09,7.96E-09,8.39E-09,8.85E-09,9.36E-09,9.84E-09,1.05E-08,1.13E-08,1.22E-08,1.33E-08
2.587,7.63E-09,7.65E-09,7.98E-09,8.39E-09,8.87E-09,9.38E-09,9.87E-09,1.05E-08,1.13E-08,1.22E-08,1.33E-08
2.625,7.66E-09,7.67E-09,8.02E-09,8.43E-09,8.88E-09,9.41E-09,9.90E-09,1.05E-08,1.14E-08,1.22E-08,1.33E-08
2.663,7.66E-09,7.69E-09,8.04E-09,8.44E-09,8.91E-09,9.43E-09,9.92E-09,1.06E-08,1.14E-08,1.23E-08,1.34E-08
2.7,7.69E-09,7.71E-09,8.05E-09,8.47E-09,8.92E-09,9.46E-09,9.94E-09,1.06E-08,1.14E-08,1.23E-08,1.34E-08
2.737,7.70E-09,7.73E-09,8.06E-09,8.49E-09,8.95E-09,9.48E-09,9.97E-09,1.06E-08,1.15E-08,1.23E-08,1.34E-08
2.775,7.73E-09,7.76E-09,8.09E-09,8.51E-09,8.97E-09,9.51E-09,9.98E-09,1.06E-08,1.15E-08,1.24E-08,1.35E-08
2.812,7.74E-09,7.77E-09,8.10E-09,8.53E-09,9.00E-09,9.53E-09,1.00E-08,1.06E-08,1.15E-08,1.24E-08,1.35E-08
2.85,7.77E-09,7.79E-09,8.13E-09,8.55E-09,9.01E-09,9.55E-09,1.00E-08,1.07E-08,1.15E-08,1.24E-08,1.35E-08
2.888,7.78E-09,7.79E-09,8.14E-09,8.57E-09,9.03E-09,9.56E-09,1.01E-08,1.07E-08,1.16E-08,1.24E-08,1.35E-08
2.925,7.79E-09,7.82E-09,8.17E-09,8.59E-09,9.05E-09,9.57E-09,1.01E-08,1.07E-08,1.16E-08,1.25E-08,1.36E-08
2.962,7.81E-09,7.83E-09,8.16E-09,8.61E-09,9.08E-09,9.61E-09,1.01E-08,1.07E-08,1.16E-08,1.25E-08,1.36E-08
3,7.83E-09,7.85E-09,8.20E-09,8.61E-09,9.09E-09,9.61E-09,1.01E-08,1.08E-08,1.16E-08,1.25E-08,1.36E-08
3.038,7.84E-09,7.86E-09,8.21E-09,8.63E-09,9.12E-09,9.65E-09,1.02E-08,1.08E-08,1.16E-08,1.25E-08,1.36E-08
3.075,7.85E-09,7.88E-09,8.23E-09,8.64E-09,9.13E-09,9.65E-09,1.02E-08,1.08E-08,1.17E-08,1.26E-08,1.37E-08
3.112,7.87E-09,7.89E-09,8.24E-09,8.68E-09,9.14E-09,9.68E-09,1.02E-08,1.08E-08,1.17E-08,1.26E-08,1.37E-08
3.15,7.88E-09,7.92E-09,8.26E-09,8.68E-09,9.17E-09,9.69E-09,1.02E-08,1.09E-08,1.17E-08,1.26E-08,1.37E-08
3.187,7.90E-09,7.93E-09,8.28E-09,8.71E-09,9.17E-09,9.72E-09,1.02E-08,1.09E-08,1.17E-08,1.26E-08,1.38E-08
3.225,7.90E-09,7.95E-09,8.29E-09,8.71E-09,9.20E-09,9.74E-09,1.02E-08,1.09E-08,1.18E-08,1.27E-08,1.38E-08
3.263,7.92E-09,7.95E-09,8.31E-09,8.74E-09,9.21E-09,9.76E-09,1.03E-08,1.09E-08,1.18E-08,1.27E-08,1.38E-08
3.3,7.93E-09,7.97E-09,8.32E-09,8.75E-09,9.23E-09,9.78E-09,1.03E-08,1.09E-08,1.18E-08,1.27E-08,1.38E-08
3.337,7.95E-09,7.99E-09,8.33E-09,8.77E-09,9.24E-09,9.79E-09,1.03E-08,1.09E-08,1.18E-08,1.27E-08,1.39E-08
3.375,7.96E-09,8.00E-09,8.34E-09,8.78E-09,9.26E-09,9.80E-09,1.03E-08,1.10E-08,1.18E-08,1.28E-08,1.39E-08
3.413,7.98E-09,8.02E-09,8.37E-09,8.80E-09,9.27E-09,9.82E-09,1.03E-08,1.10E-08,1.19E-08,1.28E-08,1.39E-08
3.45,7.98E-09,8.02E-09,8.37E-09,8.82E-09,9.29E-09,9.84E-09,1.03E-08,1.10E-08,1.19E-08,1.28E-08,1.39E-08
3.487,7.99E-09,8.04E-09,8.40E-09,8.83E-09,9.31E-09,9.85E-09,1.04E-08,1.10E-08,1.19E-08,1.28E-08,1.39E-08
3.525,8.02E-09,8.03E-09,8.39E-09,8.85E-09,9.33E-09,9.87E-09,1.04E-08,1.11E-08,1.19E-08,1.28E-08,1.40E-08
3.562,8.02E-09,8.07E-09,8.42E-09,8.85E-09,9.34E-09,9.87E-09,1.04E-08,1.11E-08,1.19E-08,1.29E-08,1.40E-08
3.6,8.05E-09,8.07E-09,8.43E-09,8.87E-09,9.35E-09,9.90E-09,1.04E-08,1.11E-08,1.19E-08,1.29E-08,1.40E-08
3.638,8.05E-09,8.09E-09,8.45E-09,8.88E-09,9.37E-09,9.91E-09,1.04E-08,1.11E-08,1.20E-08,1.29E-08,1.40E-08
3.675,8.05E-09,8.10E-09,8.46E-09,8.90E-09,9.38E-09,9.93E-09,1.05E-08,1.11E-08,1.20E-08,1.29E-08,1.41E-08
3.712,8.06E-09,8.12E-09,8.48E-09,8.89E-09,9.40E-09,9.95E-09,1.05E-08,1.11E-08,1.20E-08,1.29E-08,1.41E-08
3.75,8.07E-09,8.12E-09,8.49E-09,8.92E-09,9.40E-09,9.96E-09,1.05E-08,1.12E-08,1.20E-08,1.29E-08,1.41E-08
3.788,8.08E-09,8.15E-09,8.50E-09,8.92E-09,9.42E-09,9.97E-09,1.05E-08,1.12E-08,1.20E-08,1.30E-08,1.41E-08
3.825,8.11E-09,8.15E-09,8.52E-09,8.95E-09,9.42E-09,9.99E-09,1.05E-08,1.12E-08,1.20E-08,1.30E-08,1.41E-08
3.862,8.10E-09,8.17E-09,8.51E-09,8.96E-09,9.45E-09,1.00E-08,1.05E-08,1.12E-08,1.21E-08,1.30E-08,1.42E-08
3.9,8.12E-09,8.18E-09,8.53E-09,8.97E-09,9.46E-09,1.00E-08,1.05E-08,1.12E-08,1.21E-08,1.30E-08,1.42E-08
3.937,8.12E-09,8.19E-09,8.53E-09,8.99E-09,9.48E-09,1.00E-08,1.06E-08,1.12E-08,1.21E-08,1.30E-08,1.42E-08
