 Vd,Vg1,Vg2,Vg3,Vg4,Vg5,Vg6,Vg7,Vg8,Vg9,Vg10,Vg11
6.225,8.57E-09,8.69E-09,9.09E-09,9.56E-09,1.01E-08,1.06E-08,1.12E-08,1.19E-08,1.28E-08,1.39E-08,1.51E-08
6.263,8.57E-09,8.69E-09,9.09E-09,9.57E-09,1.01E-08,1.07E-08,1.12E-08,1.19E-08,1.29E-08,1.39E-08,1.51E-08
6.3,8.58E-09,8.71E-09,9.10E-09,9.57E-09,1.01E-08,1.07E-08,1.12E-08,1.19E-08,1.29E-08,1.39E-08,1.51E-08
6.338,8.59E-09,8.70E-09,9.10E-09,9.58E-09,1.01E-08,1.07E-08,1.12E-08,1.19E-08,1.29E-08,1.39E-08,1.51E-08
6.375,8.58E-09,8.72E-09,9.11E-09,9.58E-09,1.01E-08,1.07E-08,1.12E-08,1.20E-08,1.29E-08,1.39E-08,1.51E-08
6.412,8.60E-09,8.71E-09,9.11E-09,9.59E-09,1.01E-08,1.07E-08,1.13E-08,1.20E-08,1.29E-08,1.39E-08,1.51E-08
6.45,8.59E-09,8.72E-09,9.13E-09,9.58E-09,1.01E-08,1.07E-08,1.13E-08,1.20E-08,1.29E-08,1.39E-08,1.52E-08
6.487,8.60E-09,8.72E-09,9.13E-09,9.61E-09,1.01E-08,1.07E-08,1.13E-08,1.20E-08,1.29E-08,1.39E-08,1.52E-08
6.525,8.60E-09,8.74E-09,9.15E-09,9.60E-09,1.01E-08,1.07E-08,1.13E-08,1.20E-08,1.29E-08,1.39E-08,1.52E-08
6.562,8.61E-09,8.74E-09,9.15E-09,9.62E-09,1.01E-08,1.07E-08,1.13E-08,1.20E-08,1.29E-08,1.39E-08,1.52E-08
6.6,8.61E-09,8.75E-09,9.14E-09,9.62E-09,1.02E-08,1.07E-08,1.13E-08,1.20E-08,1.29E-08,1.40E-08,1.52E-08
6.638,8.61E-09,8.76E-09,9.16E-09,9.64E-09,1.02E-08,1.07E-08,1.13E-08,1.20E-08,1.30E-08,1.40E-08,1.52E-08
6.675,8.62E-09,8.77E-09,9.16E-09,9.64E-09,1.02E-08,1.08E-08,1.13E-08,1.20E-08,1.30E-08,1.40E-08,1.52E-08
6.713,8.64E-09,8.77E-09,9.17E-09,9.65E-09,1.02E-08,1.07E-08,1.13E-08,1.20E-08,1.30E-08,1.40E-08,1.52E-08
6.75,8.63E-09,8.79E-09,9.17E-09,9.66E-09,1.02E-08,1.08E-08,1.13E-08,1.20E-08,1.30E-08,1.40E-08,1.52E-08
6.787,8.64E-09,8.79E-09,9.18E-09,9.66E-09,1.02E-08,1.08E-08,1.13E-08,1.20E-08,1.30E-08,1.40E-08,1.53E-08
6.825,8.64E-09,8.79E-09,9.18E-09,9.67E-09,1.02E-08,1.08E-08,1.13E-08,1.21E-08,1.30E-08,1.40E-08,1.53E-08
6.862,8.65E-09,8.80E-09,9.20E-09,9.67E-09,1.02E-08,1.08E-08,1.14E-08,1.21E-08,1.30E-08,1.40E-08,1.53E-08
6.9,8.66E-09,8.79E-09,9.20E-09,9.69E-09,1.02E-08,1.08E-08,1.14E-08,1.21E-08,1.30E-08,1.40E-08,1.53E-08
6.937,8.66E-09,8.81E-09,9.21E-09,9.69E-09,1.02E-08,1.08E-08,1.14E-08,1.21E-08,1.30E-08,1.40E-08,1.53E-08
6.975,8.68E-09,8.80E-09,9.21E-09,9.69E-09,1.02E-08,1.08E-08,1.14E-08,1.21E-08,1.30E-08,1.40E-08,1.53E-08
7.013,8.66E-09,8.82E-09,9.22E-09,9.69E-09,1.02E-08,1.08E-08,1.14E-08,1.21E-08,1.30E-08,1.41E-08,1.53E-08
7.05,8.67E-09,8.82E-09,9.23E-09,9.71E-09,1.02E-08,1.08E-08,1.14E-08,1.21E-08,1.30E-08,1.41E-08,1.53E-08
7.088,8.67E-09,8.83E-09,9.23E-09,9.70E-09,1.03E-08,1.08E-08,1.14E-08,1.21E-08,1.31E-08,1.41E-08,1.53E-08
7.125,8.68E-09,8.84E-09,9.24E-09,9.73E-09,1.02E-08,1.08E-08,1.14E-08,1.21E-08,1.31E-08,1.41E-08,1.53E-08
7.162,8.69E-09,8.84E-09,9.25E-09,9.71E-09,1.03E-08,1.09E-08,1.14E-08,1.21E-08,1.31E-08,1.41E-08,1.53E-08
7.2,8.69E-09,8.85E-09,9.25E-09,9.72E-09,1.03E-08,1.09E-08,1.14E-08,1.21E-08,1.31E-08,1.41E-08,1.54E-08
7.237,8.69E-09,8.86E-09,9.25E-09,9.73E-09,1.03E-08,1.09E-08,1.14E-08,1.21E-08,1.31E-08,1.41E-08,1.54E-08
7.275,8.70E-09,8.87E-09,9.27E-09,9.75E-09,1.03E-08,1.09E-08,1.14E-08,1.21E-08,1.31E-08,1.41E-08,1.54E-08
7.312,8.70E-09,8.87E-09,9.25E-09,9.75E-09,1.03E-08,1.09E-08,1.14E-08,1.22E-08,1.31E-08,1.41E-08,1.54E-08
7.35,8.72E-09,8.87E-09,9.28E-09,9.75E-09,1.03E-08,1.09E-08,1.14E-08,1.22E-08,1.31E-08,1.41E-08,1.54E-08
7.388,8.72E-09,8.86E-09,9.28E-09,9.77E-09,1.03E-08,1.09E-08,1.14E-08,1.22E-08,1.31E-08,1.42E-08,1.54E-08
7.425,8.72E-09,8.88E-09,9.30E-09,9.77E-09,1.03E-08,1.09E-08,1.15E-08,1.22E-08,1.31E-08,1.42E-08,1.54E-08
7.463,8.73E-09,8.88E-09,9.29E-09,9.78E-09,1.03E-08,1.09E-08,1.15E-08,1.22E-08,1.31E-08,1.42E-08,1.54E-08
7.5,8.73E-09,8.90E-09,9.29E-09,9.78E-09,1.03E-08,1.09E-08,1.15E-08,1.22E-08,1.32E-08,1.42E-08,1.54E-08
7.537,8.74E-09,8.88E-09,9.30E-09,9.78E-09,1.03E-08,1.09E-08,1.15E-08,1.22E-08,1.32E-08,1.42E-08,1.54E-08
7.575,8.73E-09,8.90E-09,9.31E-09,9.78E-09,1.03E-08,1.09E-08,1.15E-08,1.22E-08,1.32E-08,1.42E-08,1.55E-08
7.612,8.74E-09,8.90E-09,9.32E-09,9.80E-09,1.03E-08,1.09E-08,1.15E-08,1.22E-08,1.32E-08,1.42E-08,1.55E-08
7.65,8.74E-09,8.91E-09,9.33E-09,9.80E-09,1.03E-08,1.09E-08,1.15E-08,1.22E-08,1.32E-08,1.42E-08,1.55E-08
7.687,8.76E-09,8.92E-09,9.33E-09,9.82E-09,1.03E-08,1.09E-08,1.15E-08,1.22E-08,1.32E-08,1.42E-08,1.55E-08
7.725,8.75E-09,8.93E-09,9.32E-09,9.82E-09,1.04E-08,1.10E-08,1.15E-08,1.22E-08,1.32E-08,1.42E-08,1.55E-08
7.763,8.76E-09,8.93E-09,9.33E-09,9.83E-09,1.04E-08,1.10E-08,1.15E-08,1.22E-08,1.32E-08,1.42E-08,1.55E-08
7.8,8.76E-09,8.93E-09,9.34E-09,9.82E-09,1.04E-08,1.10E-08,1.15E-08,1.23E-08,1.32E-08,1.42E-08,1.55E-08
7.838,8.77E-09,8.94E-09,9.35E-09,9.83E-09,1.04E-08,1.10E-08,1.15E-08,1.23E-08,1.32E-08,1.42E-08,1.55E-08
7.875,8.77E-09,8.94E-09,9.34E-09,9.85E-09,1.04E-08,1.10E-08,1.15E-08,1.23E-08,1.32E-08,1.43E-08,1.55E-08
7.912,8.78E-09,8.95E-09,9.36E-09,9.85E-09,1.04E-08,1.10E-08,1.15E-08,1.23E-08,1.32E-08,1.43E-08,1.55E-08
7.95,8.77E-09,8.95E-09,9.35E-09,9.86E-09,1.04E-08,1.10E-08,1.15E-08,1.23E-08,1.32E-08,1.43E-08,1.56E-08
7.987,8.79E-09,8.96E-09,9.37E-09,9.85E-09,1.04E-08,1.10E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.025,8.80E-09,8.95E-09,9.36E-09,9.87E-09,1.04E-08,1.10E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.062,8.79E-09,8.97E-09,9.38E-09,9.87E-09,1.04E-08,1.10E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.1,8.81E-09,8.96E-09,9.39E-09,9.88E-09,1.04E-08,1.10E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.137,8.80E-09,8.99E-09,9.39E-09,9.87E-09,1.04E-08,1.10E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.175,8.81E-09,8.98E-09,9.40E-09,9.89E-09,1.04E-08,1.10E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.213,8.80E-09,8.98E-09,9.41E-09,9.88E-09,1.04E-08,1.10E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.25,8.81E-09,8.99E-09,9.41E-09,9.90E-09,1.04E-08,1.11E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.287,8.81E-09,9.01E-09,9.42E-09,9.90E-09,1.05E-08,1.11E-08,1.16E-08,1.23E-08,1.33E-08,1.43E-08,1.56E-08
8.325,8.82E-09,9.00E-09,9.43E-09,9.92E-09,1.04E-08,1.11E-08,1.16E-08,1.24E-08,1.33E-08,1.44E-08,1.56E-08
8.363,8.82E-09,9.01E-09,9.42E-09,9.91E-09,1.05E-08,1.11E-08,1.16E-08,1.24E-08,1.33E-08,1.44E-08,1.56E-08
8.4,8.83E-09,9.02E-09,9.43E-09,9.92E-09,1.05E-08,1.11E-08,1.16E-08,1.24E-08,1.33E-08,1.44E-08,1.57E-08
8.437,8.82E-09,9.03E-09,9.42E-09,9.94E-09,1.05E-08,1.11E-08,1.16E-08,1.24E-08,1.33E-08,1.44E-08,1.57E-08
8.475,8.84E-09,9.02E-09,9.45E-09,9.93E-09,1.05E-08,1.11E-08,1.16E-08,1.24E-08,1.33E-08,1.44E-08,1.57E-08
8.512,8.84E-09,9.02E-09,9.44E-09,9.94E-09,1.05E-08,1.11E-08,1.16E-08,1.24E-08,1.34E-08,1.44E-08,1.57E-08
8.55,8.85E-09,9.03E-09,9.46E-09,9.94E-09,1.05E-08,1.11E-08,1.16E-08,1.24E-08,1.34E-08,1.44E-08,1.57E-08
8.588,8.85E-09,9.03E-09,9.45E-09,9.96E-09,1.05E-08,1.11E-08,1.16E-08,1.24E-08,1.34E-08,1.44E-08,1.57E-08
8.625,8.85E-09,9.04E-09,9.47E-09,9.95E-09,1.05E-08,1.11E-08,1.17E-08,1.24E-08,1.34E-08,1.44E-08,1.57E-08
8.662,8.86E-09,9.04E-09,9.46E-09,9.96E-09,1.05E-08,1.11E-08,1.17E-08,1.24E-08,1.34E-08,1.44E-08,1.57E-08
8.7,8.85E-09,9.05E-09,9.47E-09,9.96E-09,1.05E-08,1.11E-08,1.17E-08,1.24E-08,1.34E-08,1.44E-08,1.57E-08
8.738,8.86E-09,9.04E-09,9.47E-09,9.97E-09,1.05E-08,1.11E-08,1.17E-08,1.24E-08,1.34E-08,1.44E-08,1.57E-08
8.775,8.86E-09,9.06E-09,9.48E-09,9.96E-09,1.05E-08,1.11E-08,1.17E-08,1.24E-08,1.34E-08,1.45E-08,1.57E-08
8.812,8.87E-09,9.07E-09,9.49E-09,9.99E-09,1.05E-08,1.11E-08,1.17E-08,1.24E-08,1.34E-08,1.45E-08,1.57E-08
8.85,8.86E-09,9.07E-09,9.49E-09,9.99E-09,1.05E-08,1.11E-08,1.17E-08,1.24E-08,1.34E-08,1.45E-08,1.58E-08
8.887,8.88E-09,9.07E-09,9.49E-09,1.00E-08,1.05E-08,1.12E-08,1.17E-08,1.25E-08,1.34E-08,1.45E-08,1.58E-08
8.925,8.88E-09,9.07E-09,9.49E-09,9.99E-09,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.34E-08,1.45E-08,1.58E-08
8.963,8.88E-09,9.09E-09,9.50E-09,1.00E-08,1.06E-08,1.11E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9,8.89E-09,9.09E-09,9.49E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9.037,8.89E-09,9.09E-09,9.52E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9.075,8.89E-09,9.10E-09,9.50E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9.113,8.90E-09,9.10E-09,9.51E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9.15,8.91E-09,9.09E-09,9.52E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9.187,8.91E-09,9.11E-09,9.53E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9.225,8.91E-09,9.11E-09,9.54E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9.262,8.90E-09,9.13E-09,9.54E-09,1.00E-08,1.06E-08,1.12E-08,1.17E-08,1.25E-08,1.35E-08,1.45E-08,1.58E-08
9.3,8.92E-09,9.11E-09,9.55E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.25E-08,1.35E-08,1.46E-08,1.59E-08
9.338,8.91E-09,9.13E-09,9.55E-09,1.00E-08,1.06E-08,1.12E-08,1.18E-08,1.25E-08,1.35E-08,1.46E-08,1.59E-08
9.375,8.93E-09,9.12E-09,9.56E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.25E-08,1.35E-08,1.46E-08,1.59E-08
9.412,8.92E-09,9.14E-09,9.55E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.25E-08,1.35E-08,1.46E-08,1.59E-08
9.45,8.92E-09,9.15E-09,9.56E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.26E-08,1.35E-08,1.46E-08,1.59E-08
9.488,8.92E-09,9.15E-09,9.56E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.26E-08,1.35E-08,1.46E-08,1.59E-08
9.525,8.93E-09,9.16E-09,9.57E-09,1.01E-08,1.06E-08,1.12E-08,1.18E-08,1.26E-08,1.36E-08,1.46E-08,1.59E-08
9.562,8.94E-09,9.14E-09,9.57E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.46E-08,1.59E-08
9.6,8.94E-09,9.17E-09,9.58E-09,1.01E-08,1.07E-08,1.12E-08,1.18E-08,1.26E-08,1.36E-08,1.46E-08,1.59E-08
9.637,8.95E-09,9.16E-09,9.57E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.46E-08,1.59E-08
9.675,8.95E-09,9.16E-09,9.59E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.46E-08,1.59E-08
9.713,8.96E-09,9.16E-09,9.59E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.46E-08,1.59E-08
9.75,8.96E-09,9.17E-09,9.60E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.46E-08,1.60E-08
9.787,8.96E-09,9.17E-09,9.61E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.47E-08,1.60E-08
9.825,8.95E-09,9.19E-09,9.61E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.47E-08,1.60E-08
9.863,8.97E-09,9.18E-09,9.62E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.47E-08,1.60E-08
9.9,8.96E-09,9.19E-09,9.62E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.47E-08,1.60E-08
9.937,8.98E-09,9.19E-09,9.62E-09,1.01E-08,1.07E-08,1.13E-08,1.18E-08,1.26E-08,1.36E-08,1.47E-08,1.60E-08
9.975,8.97E-09,9.20E-09,9.63E-09,1.01E-08,1.07E-08,1.13E-08,1.19E-08,1.26E-08,1.36E-08,1.47E-08,1.60E-08
10.012,8.98E-09,9.21E-09,9.64E-09,1.02E-08,1.07E-08,1.13E-08,1.19E-08,1.26E-08,1.36E-08,1.47E-08,1.60E-08
10.05,8.98E-09,9.20E-09,9.63E-09,1.01E-08,1.07E-08,1.13E-08,1.19E-08,1.26E-08,1.37E-08,1.47E-08,1.60E-08
10.088,8.99E-09,9.22E-09,9.63E-09,1.02E-08,1.07E-08,1.13E-08,1.19E-08,1.26E-08,1.37E-08,1.47E-08,1.60E-08
10.125,8.99E-09,9.21E-09,9.63E-09,1.02E-08,1.07E-08,1.13E-08,1.19E-08,1.27E-08,1.37E-08,1.47E-08,1.60E-08
10.162,9.00E-09,9.22E-09,9.65E-09,1.02E-08,1.07E-08,1.13E-08,1.19E-08,1.27E-08,1.37E-08,1.47E-08,1.60E-08
10.2,9.01E-09,9.22E-09,9.64E-09,1.02E-08,1.07E-08,1.13E-08,1.19E-08,1.27E-08,1.37E-08,1.47E-08,1.60E-08
10.238,9.00E-09,9.23E-09,9.66E-09,1.02E-08,1.07E-08,1.13E-08,1.19E-08,1.27E-08,1.37E-08,1.47E-08,1.60E-08
10.275,9.00E-09,9.22E-09,9.66E-09,1.02E-08,1.07E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.47E-08,1.61E-08
10.312,9.01E-09,9.23E-09,9.67E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.35,9.01E-09,9.23E-09,9.67E-09,1.02E-08,1.07E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.387,9.01E-09,9.25E-09,9.68E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.425,9.01E-09,9.24E-09,9.68E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.463,9.00E-09,9.26E-09,9.68E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.5,9.03E-09,9.25E-09,9.69E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.537,9.01E-09,9.25E-09,9.69E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.575,9.04E-09,9.26E-09,9.69E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.613,9.03E-09,9.28E-09,9.69E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.65,9.03E-09,9.28E-09,9.70E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.27E-08,1.37E-08,1.48E-08,1.61E-08
10.687,9.03E-09,9.26E-09,9.70E-09,1.02E-08,1.08E-08,1.14E-08,1.19E-08,1.28E-08,1.37E-08,1.48E-08,1.61E-08
10.725,9.04E-09,9.28E-09,9.71E-09,1.02E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.48E-08,1.61E-08
10.762,9.04E-09,9.27E-09,9.70E-09,1.02E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.48E-08,1.62E-08
10.8,9.04E-09,9.28E-09,9.72E-09,1.02E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.61E-08
10.838,9.04E-09,9.28E-09,9.71E-09,1.02E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.48E-08,1.62E-08
10.875,9.04E-09,9.29E-09,9.72E-09,1.02E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
10.912,9.04E-09,9.28E-09,9.73E-09,1.03E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
10.95,9.04E-09,9.30E-09,9.74E-09,1.02E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
10.988,9.05E-09,9.29E-09,9.74E-09,1.03E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.025,9.04E-09,9.31E-09,9.74E-09,1.03E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.062,9.05E-09,9.29E-09,9.75E-09,1.03E-08,1.08E-08,1.14E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.1,9.05E-09,9.30E-09,9.75E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.137,9.06E-09,9.30E-09,9.75E-09,1.03E-08,1.08E-08,1.15E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.175,9.06E-09,9.30E-09,9.75E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.213,9.07E-09,9.31E-09,9.76E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.25,9.07E-09,9.31E-09,9.75E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.287,9.08E-09,9.31E-09,9.76E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.62E-08
11.325,9.08E-09,9.31E-09,9.75E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.63E-08
11.363,9.08E-09,9.32E-09,9.76E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.28E-08,1.38E-08,1.49E-08,1.63E-08
11.4,9.09E-09,9.31E-09,9.75E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.28E-08,1.39E-08,1.49E-08,1.63E-08
11.437,9.08E-09,9.32E-09,9.77E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.475,9.08E-09,9.32E-09,9.77E-09,1.03E-08,1.09E-08,1.15E-08,1.20E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.512,9.08E-09,9.33E-09,9.78E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.55,9.10E-09,9.34E-09,9.78E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.588,9.08E-09,9.34E-09,9.78E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.625,9.10E-09,9.33E-09,9.79E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.662,9.08E-09,9.35E-09,9.79E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.7,9.11E-09,9.35E-09,9.79E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.738,9.10E-09,9.36E-09,9.79E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.775,9.11E-09,9.37E-09,9.80E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.812,9.11E-09,9.36E-09,9.79E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.85,9.11E-09,9.36E-09,9.80E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.63E-08
11.887,9.12E-09,9.35E-09,9.81E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.64E-08
11.925,9.12E-09,9.37E-09,9.83E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.64E-08
11.963,9.12E-09,9.37E-09,9.82E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.64E-08
12,9.12E-09,9.38E-09,9.83E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.50E-08,1.64E-08
12.037,9.12E-09,9.37E-09,9.82E-09,1.04E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.40E-08,1.50E-08,1.64E-08
12.075,9.12E-09,9.38E-09,9.83E-09,1.03E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.40E-08,1.51E-08,1.64E-08
12.113,9.14E-09,9.38E-09,9.84E-09,1.04E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.39E-08,1.51E-08,1.64E-08
12.15,9.13E-09,9.40E-09,9.83E-09,1.04E-08,1.10E-08,1.15E-08,1.21E-08,1.29E-08,1.40E-08,1.51E-08,1.64E-08
12.187,9.14E-09,9.39E-09,9.85E-09,1.04E-08,1.09E-08,1.15E-08,1.21E-08,1.29E-08,1.40E-08,1.51E-08,1.64E-08
12.225,9.13E-09,9.40E-09,9.84E-09,1.04E-08,1.10E-08,1.15E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.262,9.15E-09,9.41E-09,9.85E-09,1.04E-08,1.10E-08,1.15E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.3,9.15E-09,9.41E-09,9.84E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.338,9.15E-09,9.42E-09,9.85E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.375,9.15E-09,9.41E-09,9.85E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.412,9.16E-09,9.42E-09,9.87E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.45,9.16E-09,9.41E-09,9.86E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.488,9.16E-09,9.42E-09,9.88E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.525,9.17E-09,9.42E-09,9.87E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.65E-08
12.562,9.17E-09,9.43E-09,9.88E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.6,9.17E-09,9.42E-09,9.88E-09,1.04E-08,1.10E-08,1.16E-08,1.21E-08,1.30E-08,1.40E-08,1.51E-08,1.64E-08
12.637,9.17E-09,9.44E-09,9.89E-09,1.04E-08,1.10E-08,1.16E-08,1.22E-08,1.30E-08,1.40E-08,1.51E-08,1.65E-08
